user_id,id,created_at,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.place_id,geo.coordinates.type,possibly_sensitive,lang,user_username,user_name,user_location,user_description,user_public_metrics.followers_count,user_public_metrics.following_count,user_public_metrics.tweet_count,user_public_metrics.listed_count,user_created_at,tweet_lon,tweet_lat
901066385362755584,947715878480678912,2018-01-01T06:27:27.000Z,"Happy New Year to you guys , it is 2018 ! #newyear #newyearsday #orlando # Disney… https://t.co/WK6NC5OzmG",0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,uandmehotpot,U & Me Hot Pot,"Orlando, FL",🍨,19,386,736,1,2017-08-25T12:59:02.000Z,-81.46574943,28.47298811
1317609672,947741213641277441,2018-01-01T08:08:08.000Z,@Wikipedia Viewing fireworks at Disney! 🎆,0,0,0,0,55b4f9e5c516e0b6,,FALSE,en,HarasCakes,Sarah M Sekáč,"Reizüberflutung, FL",extremely trustworthy and dependable | rabid anti-dentite | proud Gelsonite | Borussin!,67,202,2969,3,2013-03-31T03:15:45.000Z,,
60808513,947878401230168064,2018-01-01T17:13:16.000Z,@SeanStanglandDH Disney will be finally shut off of Potter IP (except an occasional song in Disney’s Hollywood Studios at very random times) https://t.co/QFr3IlXqBc,0,0,1,0,55b4f9e5c516e0b6,,FALSE,en,braindud92,🚂Engineer Goofy Jeff🚂,"I am here...no, over here.","My name is Jeff...Marc Davis is my BAE (if you know, you know). Amazing Race Orlando Season 2: Track Team; braindew IG",2073,1648,50427,40,2009-07-28T04:19:02.000Z,,
2980620744,947888789778771969,2018-01-01T17:54:33.000Z,Sooooo yea I’m totally doing disney fandaze. The price is doable and I want to do at least one fun thing this summer,0,0,3,0,55b4f9e5c516e0b6,,FALSE,en,hecallsmePP,Kiki’s Delivery Intern,"Baltimore, MD",Virgo ✨ In love with the moon ✨ enjoys naps ✨ 21+,3895,2453,177607,57,2015-01-13T21:39:37.000Z,,
2427912938,947890161932697601,2018-01-01T18:00:00.000Z,"Caribbean Cruise: ✅
Disney World: 🔜",1,0,1,0,55b4f9e5c516e0b6,,FALSE,en,ashley_2757,Ashley 📍,"Boise, ID","me, but on the internet",361,1220,10168,2,2014-04-04T22:15:54.000Z,,
2980620744,947890339704131584,2018-01-01T18:00:42.000Z,Well now that prices for Disney fandaze are out I can start budgeting for it.,0,2,2,0,55b4f9e5c516e0b6,,FALSE,en,hecallsmePP,Kiki’s Delivery Intern,"Baltimore, MD",Virgo ✨ In love with the moon ✨ enjoys naps ✨ 21+,3895,2453,177607,57,2015-01-13T21:39:37.000Z,,
53149765,947931148239466496,2018-01-01T20:42:52.000Z,"I'm at The Magic of Disney in Orlando, FL https://t.co/17YiV8AKCW https://t.co/4yZyQnwIQe",0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,jerry0906,Jerry,"Cambridge, MA",Help people & organizations innovate based on human insights. #아무말,1943,200,24042,27,2009-07-02T18:45:07.000Z,-81.30880552,28.43089968
3026694994,947937243712258048,2018-01-01T21:07:05.000Z,#OrlandoLostFound Lost at Magic Kingdom - Fox Blanket (Magic Kingdom): My toddler lost his blanket in Disney. Its orange on one side gray on the other with a fox with tabs.. we lost it the weekend of December 15th. It's a long shot but I thought I would… https://t.co/HNvytXoFLL,0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,Orlando_LAF,Orlando Lost Found,Orlando Florida,"",90,63,9455,4,2015-02-09T16:25:01.000Z,-81.3779211,28.53257968
183118574,947964417949528064,2018-01-01T22:55:04.000Z,"When it's 43 degrees outside,  and you turn down going to Disney, you'll travel via your new puzzle. #ilovepuzzles https://t.co/0WZo75k7SE",0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,jensiek21,Jen Siekkinen,"Orlando, FL","ABA therapist 

Traveler/ Human rights Defender / athlete / nerd / lover of all things acoustic",552,723,27535,59,2010-08-26T05:22:54.000Z,-81.4057965,28.4931351
1677326527,947975385748312065,2018-01-01T23:38:39.000Z,"Much Love, and Happy New Year to everyone! ~#ReyRey

Shot in @WaltDisneyWorld ’s #Epcot in Orlando, #Florida

#TheMindOfReyRey #Photography #Happynewyear #2018 #Newyears2018 #Disney #Follow https://t.co/bT1GWPQZ9K",2,0,6,0,55b4f9e5c516e0b6,,FALSE,en,themindofreyrey,Rey Rey Rodriguez,"Fort Lauderdale, FL",The Mind of Rey Rey® Founder • Entrepreneur • Photographer • Marketer • Text: 9547874646 • FB & Instagram: @themindofreyrey,7019,5068,25009,132,2013-08-17T04:13:07.000Z,,
