user_id,id,created_at,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,geo.place_id,geo.coordinates.type,possibly_sensitive,lang,user_username,user_name,user_location,user_description,user_public_metrics.followers_count,user_public_metrics.following_count,user_public_metrics.tweet_count,user_public_metrics.listed_count,user_created_at,tweet_lon,tweet_lat
2520095912,947640160119808000,2018-01-01T01:26:35.000Z,Disneyworld #tb #orlandotripdec17 https://t.co/ba1sPapulv,0,0,0,0,55b4f9e5c516e0b6,,FALSE,en,fsha_tssha97,fsha,Malaysia,Stay strong n follow d flow..,6,21,656,0,2014-05-24T10:25:04.000Z,,
69488074,948517339603103744,2018-01-03T11:32:11.000Z,Next stop... Coronado Springs Hotel! #disneyworld #disneysmagicalexpress #GoTEAM @ Disney's… https://t.co/CNr8AbtVOf,0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,rndydelibz,Randall Graham,"Echo Park, Los Angeles",man of God. loving life. raising money for charity. donate at: https://t.co/SYMCpjoYCn,117,139,9854,13,2009-08-28T03:05:43.000Z,-81.30935207,28.43006587
901066385362755584,948626640963223553,2018-01-03T18:46:30.000Z,It is time to check the Stawberry Boba in the https://t.co/C7yZbiZAgF #food#ice cream#orlando #disneyworld… https://t.co/8zKXnbqBkO,0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,uandmehotpot,U & Me Hot Pot,"Orlando, FL",🍨,19,386,736,1,2017-08-25T12:59:02.000Z,-81.4702087,28.4580269
16579539,948677960516726791,2018-01-03T22:10:26.000Z,Words I never thought I would say... #DisneyBoys #disneyworld @ Orlando International Airport (MCO) https://t.co/FM25uW4piP,0,2,36,0,55b4f9e5c516e0b6,Point,FALSE,en,jasonmatheson,Jason Matheson,"Minneapolis, MN","Host of @JasonShowTV on FOX & @YouTube, Morning Drive on @mytalk1071, Owner @bettyandearls",35170,5027,28719,365,2008-10-03T15:59:26.000Z,-81.311582,28.4395606
17549521,950148543821565959,2018-01-07T23:34:00.000Z,A parade at #DisneyWorld this afternoon brought out thousands of fans https://t.co/Hn8P3ZNK6Q,0,0,2,0,55b4f9e5c516e0b6,,FALSE,en,MattPetrillo,Matt Petrillo,"Philadelphia, PA",Bike rider 🚴 @CBSPhilly Reporter. @Nlgja member. Montco native #TempleMade. instagram: mpetrillo Be kind,3387,1027,17959,123,2008-11-22T00:29:57.000Z,,
901066385362755584,950161990609260544,2018-01-08T00:27:26.000Z,"Do you like peanuts ? If you do , you should check this one out #mrcoolicecream #disneyworld… https://t.co/zGh4dMYKt4",0,0,0,0,55b4f9e5c516e0b6,Point,FALSE,en,uandmehotpot,U & Me Hot Pot,"Orlando, FL",🍨,19,386,736,1,2017-08-25T12:59:02.000Z,-81.4702087,28.4580269
278807711,950884924243968001,2018-01-10T00:20:07.000Z,"@stuheritage On holiday to Disneyworld (yes), needed something joyful for plane. Finally read this. So great! Big up you x https://t.co/nR9vm06X2A",0,1,1,0,55b4f9e5c516e0b6,,FALSE,en,NosheenIqbal,Nosheen Iqbal,"London, N16","reporter, @ObserverUK // ex @guardian women's editor + features desk // trustee @_the_faction // email:  nosheen.iqbal@theguardian.com",12807,2212,14884,132,2011-04-08T01:01:53.000Z,,
171184693,951561874633609216,2018-01-11T21:10:04.000Z,"Flew from Salt Lake to Orlando to teach at a @NASPGHAN fellows training conference.  
Fun flight.
No working WiFi.
Every toddler in Utah on flight to Disneyworld.",0,0,2,0,55b4f9e5c516e0b6,,FALSE,en,Jfpohl,Jfpohl,"Salt Lake City, UT","Into Biologos, American Scientific Affiliation. Thinks Rush is the only band.  Love reading Loren Eiseley. Awesome wife and kids. Pedi GI doc / science nerd.",946,1269,14079,50,2010-07-26T19:25:48.000Z,,
3954763540,951802907317362688,2018-01-12T13:07:51.000Z,"#Disneyland - #Orlando
2 Adults + 2 Children
#RosenInn - € 2476.00
#AvantiResort - € 2680.00
#disney #waltdisney #lovedisney #disneystyle #disneylife #vacation #familytime #funtime #happytime #mickey #minnie #disneyworld #disneyclub #instajoy #happiestplaceonearth #disneygram https://t.co/qhtbBkvxNV",0,0,0,0,55b4f9e5c516e0b6,,FALSE,en,AllwaysT,Allways Travel,"Dublin, Ireland","We would love to provide you with the best options and advise, so if you are planning a holiday – please get in touch!",552,1011,4689,28,2015-10-14T09:43:13.000Z,,
235855513,952173965346246657,2018-01-13T13:42:18.000Z,Goodmorning Disneyworld! https://t.co/zp2tK8kDOa,0,1,15,0,55b4f9e5c516e0b6,,FALSE,en,salbuey,Salvo,"New Jersey, USA","If you ignore the past, you jeopardize your future.",668,1417,11058,7,2011-01-09T06:44:44.000Z,,
